company,name,dept_title,event_date,event_label,event_url,session_url,status
,,,,,https://event.shoeisha.jp/mzday/20260527,,登壇者情報なし
広告ウヒョー！MC,山田 百音,,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6154,OK
ワンスカイ,福里 真一,クリエイティブディレクター／CMプランナー／コピーライター,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6154,OK
カンロ株式会社,内山 妙子,常務執行役員 マーケティング本部長,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6125,OK
株式会社Mizkan,田中 保憲,Holdings マーケティンググループ 株式会社ZENB JAPAN ブランドマネージャ,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6125,OK
株式会社野村総合研究所,松下 東子,コンサルティング事業本部マーケティング戦略コンサルティング部 シニアプリンシパル,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6134,OK
Sansan株式会社,福永 和洋,Sansan事業部 マーケティング部 部長,2025-09-10,,https://event.shoeisha.jp/mzday/20250910,https://event.shoeisha.jp/mzday/20250910/session/6184,OK
デザイン・イノベーション・ファームTakram,渡邉 康太郎,コンテクストデザイナー / 東北芸術工科大学 客員教授,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6644,OK
サントリー株式会社,菊池 友里,宣伝部 課長,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6644,OK
ユニリーバ・ジャパン・カスタマーマーケティング株式会社,前納 有紀子,Personal Care Commercial Lead,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6653,OK
青山学院大学,久保田 進彦,経営学部 教授,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6677,OK
株式会社ニッセイ基礎研究所,廣瀬 涼,研究員,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6677,OK
アドビ株式会社,鵜瀬 総一郎,ソリューションコンサルティング ディレクター,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6676,OK
フリー株式会社,三浦 將太,常務執行役員/VP of Marketing セントラルマーケティング本部 本部長,2026-03-03,,https://event.shoeisha.jp/mzday/20260303,https://event.shoeisha.jp/mzday/20260303/session/6676,OK
株式会社JTB,風口 悦子,執行役員 ブランディング・マーケティング 広報担当（CMO）,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6767,OK
日本ケンタッキー・フライド・チキン株式会社,平田 雄己,マーケティング本部 デジタル戦略部 部長,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6767,OK
株式会社翔泳社,安成 蓉子,メディア編集部門 ビジネス編集統括 第2メディア編集部 部長 兼 Biz/Zine編集長,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6767,OK
花王株式会社,石渡 健祐,デジタル戦略部門 DXソリューションズセンター チーフデータサイエンティスト,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6770,OK
花王株式会社,箕輪 映友子,デジタル戦略部門 DXソリューションズセンター データサイエンティスト,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6770,OK
株式会社EVERRISE,松本 健太郎,執行役員CMO 株式会社コモレビ CDO,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6770,OK
積水ハウス イノベーション＆コミュニケーション株式会社,日ノ澤 恵莉,CRO（Chief Research Officer）,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6777,OK
DynaMeet株式会社,澤野 拓実,共同代表 兼 CRO,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6769,OK
株式会社博報堂,中島 優人,CXクリエイティブ局 エクスペリエンスディレクター,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6771,OK
株式会社博報堂テクノロジーズ,岸本 悠祐,Technical Lead,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6771,OK
アドビ株式会社,阿部 成行,ジャパントランスフォーメーション本部 プリンシパルビジネスデベロップメント マネージャー,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6772,OK
株式会社Speee,藤井 慧里,マーケティングインテリジェンス事業本部 セールス＆マーケティング部 部長 AIリサーチ＆イノベーションセンター AEOサービス推進責任者,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6773,OK
QO株式会社,大塚 剛,マーケティングプランニング本部 マーケティングプランニング部 プランニング1U ストラテジックプランナー/AIフェロー,2026-05-21,,https://event.shoeisha.jp/mzday/20260521,https://event.shoeisha.jp/mzday/20260521/session/6776,OK
株式会社マクロミル,三島 大輝,デジタルマーケティング本部 パネルデータプロダクツユニット長,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5835,OK
株式会社電通,久下 尋厚,第6マーケティング局 マーケティングコンサルティング部 部長（GM）,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5835,OK
株式会社EVeM,富家 翔平,Marketing Director,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5840,OK
パナソニック コネクト株式会社,関口 昭如,デザイン＆マーケティング本部 デジタルカスタマーエクスペリエンス エグゼクティブ/統括部長、 （兼）現場ソリューションカンパニー ヴァイスプレジデント（マーケティング戦略）、,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5840,OK
株式会社マクニカ,渡辺 弦一郎,ネットワークスカンパニーDXソリューション事業部第1営業部ソリューション技術課 データエンジニア,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5833,OK
株式会社マクニカ,池田 将司,ネットワークスカンパニーセキュリティソリューション営業統括部プロダクト第1営業部第1課 プロダクトマネージャー ホーム,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5833,OK
Teads,今村 幸彦,Japan North East Asia地区 Managing Director,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5834,OK
Teads,川口 瑞浩,"Japan VP, Agency Partnership Lead",2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5834,OK
Kantar,吉本 潤一,Japan Kantar Japan Director Kantar Insights / Media & Creative,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5834,OK
株式会社アマナ,杉山 諒,GreatRIVER Dept. Department Manager Project Designer,2025-06-05,,https://event.shoeisha.jp/mzday/20250605,https://event.shoeisha.jp/mzday/20250605/session/5838,OK
アドビ株式会社,松井 真理子,DXインターナショナルマーケティング本部 フィールドマーケティングマネージャー 黒田 悠介,2026-01-21,,https://event.shoeisha.jp/mzday/20260121,https://event.shoeisha.jp/online/count/1695/?ident=s_a4&url=https://event.shoeisha.jp/mzday/20260121/session/6717,OK
株式会社ヤッホーブルーイング,佐藤 潤,よなよなピースラボユニット マーケティングエキスパート 黒田 悠介,2026-01-21,,https://event.shoeisha.jp/mzday/20260121,https://event.shoeisha.jp/online/count/1695/?ident=s_b4&url=https://event.shoeisha.jp/mzday/20260121/session/6718,OK
アドビ株式会社,松井 真理子,DXインターナショナルマーケティング本部 フィールドマーケティングマネージャー 黒田 悠介,2026-01-21,,https://event.shoeisha.jp/mzday/20260121,https://event.shoeisha.jp/mzday/20260121/session/6717,OK
株式会社ヤッホーブルーイング,佐藤 潤,よなよなピースラボユニット マーケティングエキスパート 黒田 悠介,2026-01-21,,https://event.shoeisha.jp/mzday/20260121,https://event.shoeisha.jp/mzday/20260121/session/6718,OK
株式会社ヤッホーブルーイング,本田 敏也,よなよな未来課（ブランド開発、市場調査分析、戦略立案） エキスパート,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6313,OK
株式会社セブン-イレブン・ジャパン,畠中 拓志,商品本部 飲料・酒・加工食品部 マーチャンダイザー,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6313,OK
株式会社クラシコム,高山 達哉,事業開発部 執行役員,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6313,OK
株式会社ゴンドラ,細野 博昭,プロデューサー,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6328,OK
株式会社イプサ,李 正修,CXデザインセンター長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6331,OK
株式会社イプサ,滝 さや子,CXデザインセンター ビジネスデベロップメントグループ グループマネージャー,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6331,OK
adjust株式会社,高橋 将平,Sales Lead,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6323,OK
株式会社良品計画,水野 寛,EC・デジタルサービス部 事業推進課,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6323,OK
カルビー株式会社,松永 遼,カルビー ジャパンリージョン企画統括本部 リテールサイエンス部 部長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6319,OK
アンカー・ジャパン株式会社,芝原 航,執行役員 事業戦略本部長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6325,OK
株式会社翔泳社,吉永 翠,MarkeZine編集部,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6325,OK
LINEヤフー株式会社,江田 達哉,コーポレートビジネスドメイン ビジネスデザインSBU 第一BCユニット BC3ディビジョン 部長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6315,OK
Meltwater Japan株式会社,髙橋 諒,アカウントエグゼクティブ,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6317,OK
株式会社ギャプライズ,金子 葉月,UGC＆D2Cテクノロジー事業部,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6326,OK
店舗のICT活用研究所,郡司 昇,代表 / 小売DX合同会社 代表社員,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6324,OK
株式会社東急ストア,山口 修平,MD企画部 マーケティング課長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6324,OK
株式会社pHmedia,松居 達也,COO 兼 経営戦略室 責任者 株式会社博報堂 コマースコンサルティング局 局長補佐,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6330,OK
GMOペパボ株式会社,武尾 健太,minne事業部 マネージャー,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6314,OK
GMOペパボ株式会社,小松 智樹,minne事業部 プロダクト開発チーム シニア ディレクター,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6314,OK
Supership株式会社,杉本 尚弥,リテールメディア企画部 部長,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6314,OK
Supership株式会社,野本 くらら,リテールメディア企画部 ディレクション1G グループリーダー,2025-11-11,,https://event.shoeisha.jp/mzday/20251111,https://event.shoeisha.jp/mzday/20251111/session/6314,OK
